Text,Codes,Effect
BEAVERCOIN I AM SWIMMING IN THE OCEAN GIVING MY DEVOTION TO YOU LIKE NOBODY CAN YOU HELP ME SOLVE THIS PUZZLE LIKE I WILL HELP YOU BE THE ONLY CURRENCY THAT FLOATS IN WATER THATS HOW BAD I WANT YOU TO SUCCEED,AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABAAA AAAAAABBAA BAABABABBAABAAAABBAAABBAAABAAAABBABAABBA ABAAAABBAB BAABBAABBBAABAA ABBBAAAABAAABAAAAAAAABBAB AABBAABAAABABABABAAAABBABAABBA ABBAABBAAA AAABBAABAABABABABBBABAABBABAAAABBBAABBAB BAABBABBBA BBAAAABBBABABAA ABABBABAAAABABAAABAA ABBABABBBAAAAABABBBAAAABBBBAAA AAABAAAAAAABBAB BBAAAABBBABABAA AABBBAABAAABABBABBBB ABBAAAABAA BAABAABBBAABABBBABABAABAA BAABBAABBBABAAABAABA ABBBBBABAABBAABBBAABABABBAABAA ABABBABAAAABABAAABAA ABAAA BABBAABAAAABABBABABB AABBBAABAAABABBABBBB BBAAAABBBABABAA AAAABAABAA BAABBAABBBAABAA ABBBAABBABABABBBBAAA AAABABABAABAAABBAAABAABAAABBABAAABABBAAA BAABBAABBBAAAAABAABB AABABABABBABBBAAAAAABAABBBAABA ABAAAABBAB BABBAAAAAABAABBAABAABAAAB BAABBAABBBAAAAABAABBBAABA AABBBABBBABABBA AAAABAAAAAAAABB ABAAA BABBAAAAAAABBABBAABB BBAAAABBBABABAA BAABBABBBA BAABABABAAAAABAAAABAAABAAAABAAAAABB,-50%
BEAVERCOIN IS MY SAFE WORD AND I DONT KNOW ANY OTHER I SPEAK IT WHENEVER THINGS WANT TO GO SIDEWAYS YOU SHOULD TRY IT WITH ME BEAVERCOIN BEAVERCOIN I SAY,AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABAAABAABA ABBAABBAAA BAABAAAAAAAABABAABAA BABBAABBBABAAABAAABB AAAAAABBABAAABB ABAAA AAABBABBBAABBABBAABB ABABAABBABABBBABABBA AAAAAABBABBBAAA ABBBABAABBAABBBAABAABAAAB ABAAA BAABAABBBBAABAAAAAAAABABA ABAAABAABB BABBAAABBBAABAAABBABAABAABABABAABAABAAAB BAABBAABBBABAAAABBABAABBABAABA BABBAAAAAAABBABBAABB BAABBABBBA AABBAABBBA BAABAABAAAAAABBAABAABABBAAAAAABBAAABAABA BBAAAABBBABABAA BAABAAABBBABBBABABAAABABBAAABB BAABBBAAABBBAAA ABAAABAABB BABBAABAAABAABBAABBB ABBAAAABAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABAAA BAABAAAAAABBAAA,-50%
BEAVERCOIN WILL DEFEAT THE ALIENS IMAGINE AN ALIEN INVASION AND HUNDREDS OF BEAVERS CAME TO THE RESCUE THOSE BEAVERS WOULD HAVE COME FROM THE CURRENCY LOGO WITH GIANT LASER GUNS AND RESCUE THE EARTH HAVE FAITH IN BEAVERCOIN,AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB BABBAABAAAABABBABABB AAABBAABAAAABABAABAAAAAAABAABB BAABBAABBBAABAA AAAAAABABBABAAAAABAAABBABBAABA ABAAAABBAAAAAAAAABBAABAAAABBABAABAA AAAAAABBAB AAAAAABABBABAAAAABAAABBAB ABAAAABBABBABABAAAAABAABAABAAAABBBAABBAB AAAAAABBABAAABB AABBBBABAAABBABAAABBBAAABAABAAAAABBBAABA ABBBAAABAB AAAABAABAAAAAAABABABAABAABAAABBAABA AAABAAAAAAABBAAAABAA BAABBABBBA BAABBAABBBAABAA BAAABAABAABAABAAAABABABAAAABAA BAABBAABBBABBBABAABAAABAA AAAABAABAAAAAAABABABAABAABAAABBAABA BABBAABBBABABAAABABBAAABB AABBBAAAAABABABAABAA AAABAABBBAABBAAAABAA AABABBAAABABBBAABBAA BAABBAABBBAABAA AAABABABAABAAABBAAABAABAAABBABAAABABBAAA ABABBABBBAAABBAABBBA BABBAABAAABAABBAABBB AABBAABAAAAAAAAABBABBAABB ABABBAAAAABAABAAABAABAAAB AABBABABAAABBABBAABA AAAAAABBABAAABB BAAABAABAABAABAAAABABABAAAABAA BAABBAABBBAABAA AABAAAAAAABAAABBAABBAABBB AABBBAAAAABABABAABAA AABABAAAAAABAAABAABBAABBB ABAAAABBAB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB,-50%
OHH WELL I M THE SON OF A BROKER THERE S NO OTHER THING THAT I KNOW EXCEPT TO BUILD STOCKS LET ME TEACH YOU WHAT I KNOW BE ATTENTIVE AS THE WISE SAGE SPEAKS FROM UNDER THE GREAT OAK TREE,ABBBAAABBBAABBB BABBAAABAAABABBABABB ABAAA ABBAA BAABBAABBBAABAA BAABAABBBAABBAB ABBBAAABAB AAAAA AAAABBAAABABBBAABABAAABAABAAAB BAABBAABBBAABAABAAABAABAA BAABA ABBABABBBA ABBBABAABBAABBBAABAABAAAB BAABBAABBBABAAAABBABAABBA BAABBAABBBAAAAABAABB ABAAA ABABAABBABABBBABABBA AABAABABBBAAABAAABAAABBBBBAABB BAABBABBBA AAAABBABAAABAAAABABBAAABB BAABABAABBABBBAAAABAABABABAABA ABABBAABAABAABB ABBAAAABAA BAABBAABAAAAAAAAAABAAABBB BBAAAABBBABABAA BABBAAABBBAAAAABAABB ABAAA ABABAABBABABBBABABBA AAAABAABAA AAAAABAABBBAABBAABAAABBABBAABBABAAABABABAABAA AAAAABAABA BAABBAABBBAABAA BABBAABAAABAABAAABAA BAABAAAAAAAABBAAABAA BAABAABBBBAABAAAAAAAABABABAABA AABABBAAABABBBAABBAA BABAAABBABAAABBAABAABAAAB BAABBAABBBAABAA AABBABAAABAABAAAAAAABAABB ABBBAAAAAAABABA BAABBBAAABAABAAAABAA,-50%
USE BEAVERCOIN FOR HACKMIT SWAG AND GET ONE FREE ITEM OF CHOICE THIS IS THE COOLEST WAY TO LIVE TO BE HONEST EVERYTHING BEAVERCOIN,BABAABAABAAABAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AABABABBBABAAAB AABBBAAAAAAAABAABABAABBAAABAAABAABB BAABABABBAAAAAAAABBA AAAAAABBABAAABB AABBAAABAABAABB ABBBAABBABAABAA AABABBAAABAABAAAABAA ABAAABAABBAABAAABBAA ABBBAAABAB AAABAAABBBABBBAABAAAAAABAAABAA BAABBAABBBABAAABAABA ABAAABAABA BAABBAABBBAABAA AAABAABBBAABBBAABABBAABAABAABABAABB BABBAAAAAABBAAA BAABBABBBA ABABBABAAABABABAABAA BAABBABBBA AAAABAABAA AABBBABBBAABBABAABAABAABABAABB AABAABABABAABAABAAABBBAAABAABBAABBBABAAAABBABAABBA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB,-50%
WE ON A SNOWBALL ROLL LETS GET BEAVERCOIN UP AND ROLLING IN THERE WE JUST NEED SUPPORT SHOUTOUT TO ALL THE BEAVERS OUT THERE I KNOW YOU ALL ARE REAL ENGINEERS,BABBAAABAA ABBBAABBAB AAAAA BAABAABBABABBBABABBAAAAABAAAAAABABBABABB BAAABABBBAABABBABABB ABABBAABAABAABBBAABA AABBAAABAABAABB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB BABAAABBBB AAAAAABBABAAABB BAAABABBBAABABBABABBABAAAABBABAABBA ABAAAABBAB BAABBAABBBAABAABAAABAABAA BABBAAABAA ABAABBABAABAABABAABB ABBABAABAAAABAAAAABB BAABABABAAABBBBABBBBABBBABAAABBAABB BAABAAABBBABBBABABAABAABBABBBABABAABAABB BAABBABBBA AAAAAABABBABABB BAABBAABBBAABAA AAAABAABAAAAAAABABABAABAABAAABBAABA ABBBABABAABAABB BAABBAABBBAABAABAAABAABAA ABAAA ABABAABBABABBBABABBA BBAAAABBBABABAA AAAAAABABBABABB AAAAABAAABAABAA BAAABAABAAAAAAAABABB AABAAABBABAABBAABAAAABBABAABAAAABAABAAABBAABA,-50%
ONE WORD BEAVERCOIN MY VOCABULARY IS ALL BEAVERCOIN I SPILL POEMS IN BEAVERCOIN MAYBE IT COULD BE MY ONLY LANGUAGE DO YOU WANT TO SPEAK BEAVERCON I CAN TEACH YOU BEAVERCOIN,ABBBAABBABAABAA BABBAABBBABAAABAAABB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABBAABBAAA BABABABBBAAAABAAAAAAAAAABBABAAABABBAAAAABAAABBBAAA ABAAABAABA AAAAAABABBABABB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABAAA BAABAABBBBABAAAABABBABABB ABBBBABBBAAABAAABBAABAABA ABAAAABBAB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABBAAAAAAABBAAAAAAABAABAA ABAAABAABB AAABAABBBABABAAABABBAAABB AAAABAABAA ABBAABBAAA ABBBAABBABABABBBBAAA ABABBAAAAAABBABAABBABABAAAAAAAAABBAAABAA AAABBABBBA BBAAAABBBABABAA BABBAAAAAAABBABBAABB BAABBABBBA BAABAABBBBAABAAAAAAAABABA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABBAB ABAAA AAABAAAAAAABBAB BAABBAABAAAAAAAAAABAAABBB BBAAAABBBABABAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB,-50%
BEAVERCOIN IS MY SAFE WORD AND I DONT KNOW ANY OTHER I SPEAK IT WHENEVER THINGS WANT TO GO SIDEWAYS YOU SHOULD TRY IT WITH ME BEAVERCOIN BEAVERCOIN I SAY,424541564552434f494e204953204d59205341464520574f524420414e44204920444f4e54204b4e4f5720414e59204f54484552204920535045414b204954205748454e45564552205448494e47532057414e5420544f20474f20534944455741595320594f552053484f554c44205452592049542057495448204d4520424541564552434f494e20424541564552434f494e204920534159,-25%
ONE WORD BEAVERCOIN MY VOCABULARY IS ALL BEAVERCOIN I SPILL POEMS IN BEAVERCOIN MAYBE IT COULD BE MY ONLY LANGUAGE DO YOU WANT TO SPEAK BEAVERCON I CAN TEACH YOU BEAVERCOIN,4f4e4520574f524420424541564552434f494e204d5920564f434142554c41525920495320414c4c20424541564552434f494e2049205350494c4c20504f454d5320494e20424541564552434f494e204d4159424520495420434f554c44204245204d59204f4e4c59204c414e475541474520444f20594f552057414e5420544f20535045414b20424541564552434f4e20492043414e20544541434820594f5520424541564552434f494e,-25%
USE BEAVERCOIN FOR HACKMIT SWAG AND GET ONE FREE ITEM OF CHOICE THIS IS THE COOLEST WAY TO LIVE TO BE HONEST EVERYTHING BEAVERCOIN,55534520424541564552434f494e20464f52204841434b4d4954205357414720414e4420474554204f4e452046524545204954454d204f462043484f49434520544849532049532054484520434f4f4c4553542057415920544f204c49564520544f20424520484f4e4553542045564552595448494e4720424541564552434f494e,-25%
WE ON A SNOWBALL ROLL LETS GET BEAVERCOIN UP AND ROLLING IN THERE WE JUST NEED SUPPORT SHOUTOUT TO ALL THE BEAVERS OUT THERE I KNOW YOU ALL ARE REAL ENGINEERS,5745204f4e204120534e4f5742414c4c20524f4c4c204c4554532047455420424541564552434f494e20555020414e4420524f4c4c494e4720494e205448455245205745204a555354204e45454420535550504f52542053484f55544f555420544f20414c4c205448452042454156455253204f55542054484552452049204b4e4f5720594f5520414c4c20415245205245414c20454e47494e45455253,-25%
ALWAYS REMEMBER TO BE PATIENT THESE THINGS TAKE TIME YOUNG ONE ENJOY YOUR YOUTH LET IT ROAR LIKE THE BLUE TIGER OF KONOHA,414c574159532052454d454d42455220544f2042452050415449454e54205448455345205448494e47532054414b452054494d4520594f554e47204f4e4520454e4a4f5920594f555220594f555448204c455420495420524f4152204c494b452054484520424c5545205449474552204f46204b4f4e4f4841,-25%
OHH WELL I M THE SON OF A BROKER THERE S NO OTHER THING THAT I KNOW EXCEPT TO BUILD STOCKS LET ME TEACH YOU WHAT I KNOW BE ATTENTIVE AS THE WISE SAGE SPEAKS FROM UNDER THE GREAT OAK TREE,4f48482057454c4c2049204d2054484520534f4e204f4620412042524f4b45522054484552452053204e4f204f54484552205448494e4720544841542049204b4e4f572045584345505420544f204255494c442053544f434b53204c4554204d4520544541434820594f5520574841542049204b4e4f5720424520415454454e54495645204153205448452057495345205341474520535045414b532046524f4d20554e44455220544845204752454154204f414b2054524545,-25%
EVERYTHING TO THE MOON MAYBE SOMEDAY WE CAN LIVE ON MARS WHO KNOWS THAT WOULD BE COOL THOUGH I HOPE TO LIVE TO SEE THE DAY WHEN FLIGHTS TO MARS ARE JUST UNDER TWO HUNDRED DOLLARS,45564552595448494e4720544f20544845204d4f4f4e204d4159424520534f4d454441592057452043414e204c495645204f4e204d4152532057484f204b4e4f5753205448415420574f554c4420424520434f4f4c2054484f554748204920484f504520544f204c49564520544f205345452054484520444159205748454e20464c494748545320544f204d41525320415245204a55535420554e4445522054574f2048554e4452454420444f4c4c415253,-25%
I LIKE TO GAMBLE AND SOMETIMES GAMBLING IS THE BEST WHEN THE ODDS ARE STACKED AGAINST YOU BLAZE OR YOU LOSE,49204c494b4520544f2047414d424c4520414e4420534f4d4554494d45532047414d424c494e47204953205448452042455354205748454e20544845204f4444532041524520535441434b454420414741494e535420594f5520424c415a45204f5220594f55204c4f5345,-25%
BEAVERCOIN CAN I GET A RATE INCREASE THAT LASTS FOREVER I AM ABOUT TO GO ON A LONG JOURNEY AND I DONT KNOW WHEN I WILL SEE YOU AGAIN,IhwtEyQaISYZIVbDvwTDszbDvDLDvArDtS7DnyPDrw3DjAQAw77DtxHDjsO8w5/Dv8O8NMOxw5gIw7ojBgTDrsO/w7IADsO5w68Pw4oHw68zCzPDn8O5LxEDB8Oww74Aw7XDkSEGw5Ehw7MBNRMACADDkgAvw5YAw7nDjsOzw5vDsy8Nw7nDnCoGNQ7Dv8O3BQDDtgDDtcOJKcOJw7wKADTDlyvDtwYLw5Q3w7UACQDDsMORAikLBcOfCsO3,150%
BEAVERCOIN IS THE FUTURE CURRENCY OF HACKMIT IMAGINE A TIME WHEN WE CAN HAVE OUR OWN CRYPTO WHICH IS FOR THE PEOPLE,AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB ABAAABAABA BAABBAABBBAABAA AABABBABAABAABBBABAABAAABAABAA AAABABABAABAAABBAAABAABAAABBABAAABABBAAA ABBBAAABAB AABBBAAAAAAAABAABABAABBAAABAAABAABB ABAAAABBAAAAAAAAABBAABAAAABBABAABAA AAAAA BAABBABAAAABBAAAABAA BABBAAABBBAABAAABBAB BABBAAABAA AAABAAAAAAABBAB AABBBAAAAABABABAABAA ABBBABABAABAAAB ABBBABABBAABBAB AAABABAAABBBAAAABBBBBAABBABBBA BABBAAABBBABAAAAAABAAABBB ABAAABAABA AABABABBBABAAAB BAABBAABBBAABAA ABBBBAABAAABBBAABBBBABABBAABAA,150%
BEAVERCOIN IS THE FUTURE CURRENCY OF HACKMIT IMAGINE A TIME WHEN WE CAN HAVE OUR OWN CRYPTO WHICH IS FOR THE PEOPLE,IhwtEyQaISYZIVbDucOyIQLDvQ0jCcO0w7rDi8O3DgARw7PDs8OOAQcRw7wyw7bDmiMNEQ/DugHDugUABsO5w58Bw7jDtQYtCDTDjAAAw7wnw7IGAMOSIcOJDykKBMOSNwAEw7jDmzfDtsOLw7Ehw7/DicO6IRPDs8OHw78BAwDDuA8Fw53DuzIQw700CcORBSjDtcO7AwDDuQ7DkcO2Aw0=,150%
I M FEELING NOSTALGIC ABOUT THE DAYS WHEN I USED TO BE A MAGICIAN I COULD MOVE MOUNTAINS AND CAST THEM INTO THE SEA BEAVERCOIN BE CAST INTO THE SEA I SAY BE THOU CAST INTO THE SEAR,ABAAA ABBAA AABABAABAAAABAAABABBABAAAABBABAABBA ABBABABBBABAABABAABBAAAAAABABBAABBAABAAAAAABA AAAAAAAAABABBBABABAABAABB BAABBAABBBAABAA AAABBAAAAABBAAABAABA BABBAAABBBAABAAABBAB ABAAA BABAABAABAAABAAAAABB BAABBABBBA AAAABAABAA AAAAA ABBAAAAAAAAABBAABAAAAAABAABAAAAAAAAABBAB ABAAA AAABAABBBABABAAABABBAAABB ABBAAABBBABABABAABAA ABBAAABBBABABAAABBABBAABBAAAAAABAAAABBABBAABA AAAAAABBABAAABB AAABAAAAAABAABABAABB BAABBAABBBAABAAABBAA ABAAAABBABBAABBABBBA BAABBAABBBAABAA BAABAAABAAAAAAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AAAABAABAA AAABAAAAAABAABABAABB ABAAAABBABBAABBABBBA BAABBAABBBAABAA BAABAAABAAAAAAA ABAAA BAABAAAAAABBAAA AAAABAABAA BAABBAABBBABBBABABAA AAABAAAAAABAABABAABB ABAAAABBABBAABBABBBA BAABBAABBBAABAA BAABAAABAAAAAAABAAAB,150%
I M FEELING NOSTALGIC ABOUT THE DAYS WHEN I USED TO BE A MAGICIAN I COULD MOVE MOUNTAINS AND CAST THEM INTO THE SEA BEAVERCOIN BE CAST INTO THE SEA I SAY BE THOU CAST INTO THE SEAR,G0EhSSMnHykZIS8pw5LDvsONw7IEw7kFAAsnw58MAMO+ACHDuMO/BCPDnADDqcO8NcO9w5gPw7olw5ckw6wGDsOcN8O0w7Yuw54EABQzw7gDw5kLDMOXAcO3AMO4AArDssOyw73DvynDtMO/w4oEAMO2AADDvsOww58EAQMlw5/Dvws1CxPDrsO1LsO/w5jDvAEkw5fDtcOtBDTDjAwDJcO6w5sILhIKw5/DvgPDs8OdBMO8w7MAAAAhEwTDv8OvLwAAw4zDsyXDjMO7w7wzAcObCC4LL8ONE8OvJcOeDiXDrcOYw7rDizPDvhjDjcOuJcOXBsO0ADXDjMO7w7wzAcObCMO8,150%
I WOULD DIE IF I JUMPED FROM MY EGO TO THE CURRENT PRICE OF BEAVERCOIN,G0EXGhQgIFUeJjEpw5cRLwwsw7rDi8O3w7kAw5wpAMOOw7rDkyoIw7QwAMO9w5Emw74ALcOMBRQAAsOyw73Djg8Bw4w0w7jDs8OXABAyA8O/LhLDmw/DvATDsQLDkQbDuA==,150%
OKAE OKAE OKAE OKAE OKAE BEAVERCOIN YOU LIVE IN MY DREAMS YOU ARE PART MY FANTASIES BUT I STAY IN REALITY I WOULD LOOK LIKE TO COUNT BEAVERCOIN THE WAY I COUNT SHEEP BEFORE I GO TO SLEEP AT NIGHT,FRYtJEkdGTQdTycECsO8JcORBArDvCXDkQQKw7wlw54KCsOrAMOODMO8w7jDtwDDqcO2w6w2w7kJw60KKQXDkjkCw7wACMO3EQTDk8O2LsOHw74EAAMAACHDvRLDjgUvCMOHIQwEw5LDvADDvwvDm8O6OcOew7HDrS4LIQDDtQTDugDDuQc0w44Ew58HC8OtAAAALsOJA8Oww7UIKQgKw5HDvgALBgoHJMOMw70vDMO8w4vDvsO1KwPDmxPDucObw7EMBgUGAMOuw73DvDbDrhHDqi8ALsOdBcOzw7fDjDfDrhHDmwTDkCMNEAgFw44OKMO8JQnDkSLDscO3L8O/w7nDmwTDkCcOw4w0AcOXDATDsQ==,150%
